# time = 2.54
# Grid points = 1730
# Domain Size = 4
# Pressure (Pa) = 100000
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -7.8103512673e-01  -7.8120184419e-01   1.1960000000e+00   1.8346640000e-05   4.2614193331e-01   4.9320594317e-03   4.9320594317e-03
  -7.8071056628e-01  -7.8086840927e-01   1.1960000000e+00   1.8346640000e-05   4.3687870022e-01   5.0123529900e-03   5.0123529900e-03
  -7.8021554145e-01  -7.8055272328e-01   1.1960000000e+00   1.8346640000e-05   4.6957995594e-01   5.3118860924e-03   5.3118860924e-03
  -7.7938497889e-01  -7.7987835961e-01   1.1960000000e+00   1.8346640000e-05   5.4506938727e-01   5.8955470505e-03   5.8955470505e-03
  -7.7812202353e-01  -7.7889159817e-01   1.1960000000e+00   1.8346640000e-05   7.4079142064e-01   9.4167450374e-04   9.4167450374e-04
  -7.7663029514e-01  -7.7735244889e-01   1.1960000000e+00   1.8346640000e-05   6.6138400788e-01   3.0138359320e-03   3.0138359320e-03
  -7.7542774177e-01  -7.7590814138e-01   1.1960000000e+00   1.8346640000e-05   5.2550500003e-01   2.6424574338e-03   2.6424574338e-03
  -7.7450629325e-01  -7.7494734216e-01   1.1960000000e+00   1.8346640000e-05   4.5368571497e-01   2.2203504911e-03   2.2203504911e-03
  -7.7367706972e-01  -7.7406524434e-01   1.1960000000e+00   1.8346640000e-05   4.4357736205e-01   2.1215598089e-03   2.1215598089e-03
  -7.7277000059e-01  -7.7328889510e-01   1.1960000000e+00   1.8346640000e-05   4.8734349171e-01   2.4142348090e-03   2.4142348090e-03
  -7.7152346713e-01  -7.7225110607e-01   1.1960000000e+00   1.8346640000e-05   6.1585118068e-01   3.5405849095e-03   3.5405849095e-03
  -7.6973091250e-01  -7.7079582818e-01   1.1960000000e+00   1.8346640000e-05   7.8081993191e-01   5.6196942660e-03   5.6196942660e-03
  -7.6766370222e-01  -7.6866599681e-01   1.1960000000e+00   1.8346640000e-05   8.0322869751e-01  -1.1452042130e-03  -1.1452042130e-03
  -7.6465203654e-01  -7.6666140762e-01   1.1960000000e+00   1.8346640000e-05   8.3931413120e-01  -1.5939722459e-03  -1.5939722459e-03
  -7.5908467347e-01  -7.6264266547e-01   1.1960000000e+00   1.8346640000e-05   9.2511792746e-01  -5.5298202861e-03  -5.5298202861e-03
  -7.5199058142e-01  -7.5552668148e-01   1.1960000000e+00   1.8346640000e-05   8.9955852261e-01   1.1705559613e-02   1.1705559613e-02
  -7.4613542036e-01  -7.4845448135e-01   1.1960000000e+00   1.8346640000e-05   9.0455625990e-01  -1.3322116896e-02  -1.3322116896e-02
  -7.4267604638e-01  -7.4381635937e-01   1.1960000000e+00   1.8346640000e-05   8.0647238405e-01  -5.3467687696e-04  -5.3467687696e-04
